BMI;Gewicht;KH
33,794;94,7;167,4
41,135;129,6;177,5
29,502;95,8;180,2
34,87;97,6;167,3
38,081;103,8;165,1
50,114;120,4;155
36,235;108,7;173,2
50,492;142;167,7
20,109;51,8;160,5
20,213;52,2;160,7
20,972;56,2;163,7
34,906;106,9;175
36,018;90,6;158,6
31,133;80,8;161,1
39,956;100;158,2
25,851;86,1;182,5
24,23;72,1;172,5
41,98;113,6;164,5
25,316;62,8;157,5
38,29;109,1;168,8
32,557;95,2;171
21,169;61,9;171
29,794;82,1;166
23,581;63,5;164,1
23,334;62,3;163,4
27,978;74,7;163,4
27,066;74,134;165,5
28,432;77,5;165,1
33,307;93;167,1
25,814;69,6;164,2
32,128;88;165,5
42,584;108,2;159,4
21,845;59,4;164,9
36,338;89;156,5
34,637;93,5;164,3
33,11;95,8;170,1
32,563;81,6;158,3
24,306;55,2;150,7
38,57;100,6;161,5
23,499;61,9;162,3
23,314;53,3;151,2
20,563;53,7;161,6
24,349;62,1;159,7
35,636;89,3;158,3
24,016;67,3;167,4
30,471;89,1;171
28,221;67,8;155
23,044;61;162,7
31,288;81;160,9
52,582;131,1;157,9
27,18;65,3;155
33,322;81,3;156,2
22,699;62,4;165,8
20,463;58,1;168,5
19,832;59,7;173,5
44,923;116,012;160,7
37,105;98,1;162,6
26,008;67,5;161,1
35,833;89;157,6
23,625;59,5;158,7
22,589;63,3;167,4
30,368;79,6;161,9
29,539;81,3;165,9
31,276;76,7;156,6
29,616;86,6;171
31,486;78,9;158,3
42,426;109,7;160,8
34,696;96,3;166,6
30,733;74,6;155,8
45,74;112,6;156,9
25,27;77,3;174,9
35,338;89;158,7
27,3;69,8;159,9
19,087;54;168,2
43,957;120,4;165,5
40,68;96,1;153,7
22,887;56,2;156,7
24,936;68,3;165,5
17,943;54,2;173,8
25,833;68,3;162,6
27,1;72,8;163,9
27,086;74,1;165,4
23,825;73,8;176
24,561;66,3;164,3
28,626;70,2;156,6
21,15;53;158,3
29,326;66,6;150,7
26,454;68,4;160,8
22,625;66,7;171,7
26,373;67,6;160,1
27,879;73,8;162,7
28,947;91,2;177,5
19,836;50,4;159,4
27,528;74,4;164,4
26,03;64,9;157,9
26,21;77,9;172,4
34,392;94,2;165,5
22,805;70,4;175,7
31,175;70,8;150,7
39,801;101;159,3
23,677;54,2;151,3
33,297;80,1;155,1
25,765;79,9;176,1
24,323;65,5;164,1
31,395;90,2;169,5
39,028;91,6;153,2
33,287;74,1;149,2
22,23;54,1;156
41,461;110,7;163,4
34,055;81,5;154,7
25,395;55,7;148,1
37,56;109,7;170,9
26,02;59,8;151,6
35,872;93,1;161,1
47,609;117,8;157,3
20,953;50,6;155,4
26,301;64,5;156,6
22,753;70,8;176,4
18,079;49,4;165,3
24,707;68;165,9
17,59;29;128,4
29,091;79,2;165
30,542;74,9;156,6
23,624;58,9;157,9
62,204;167,1;163,9
24,689;63,6;160,5
30,37;88,7;170,9
24,199;63,9;162,5
26,923;64,6;154,9
32,991;97,6;172
30,478;75,7;157,6
33,653;86,8;160,6
39,801;111,4;167,3
57,646;160;166,6
42,742;115,241;164,2
22,508;63,376;167,8
25,038;68;164,8
23,236;74,2;178,7
16,725;31,3;136,8
29,751;80,8;164,8
30,934;89,4;170
33,203;86,6;161,5
31,122;83,4;163,7
21,773;55,045;159
30,927;70,89;151,4
29,504;83,569;168,3
25,864;70,5;165,1
46,056;138;173,1
22,783;55,8;156,5
28,728;80,6;167,5
20,435;64,6;177,8
18,954;48,4;159,8
24,334;59,6;156,5
27,222;88,2;180
19,77;55,4;167,4
18,117;44,6;156,9
40,593;102,108;158,6
34,22;92,6;164,5
28,858;73,6;159,7
26,165;71,406;165,2
22,562;63,3;167,5
28,359;72,6;160
16,919;23,2;117,1
21,97;62,6;168,8
30,48;84,6;166,6
29,332;71,2;155,8
15,57;28;134,1
25,679;65;159,1
16,386;30,8;137,1
27,839;88,8;178,6
41,589;106,6;160,1
24,356;54;148,9
22,168;68,2;175,4
17,398;50,4;170,2
26,621;74,6;167,4
15,99;28,2;132,8
21,724;67,6;176,4
22,453;65,5;170,8
20,972;56,2;163,7
17,029;29;130,5
27,082;75,8;167,3
22,2;67,6;174,5
23,567;73;176
27,471;67,8;157,1
13,935;21,6;124,5
33,745;93,1;166,1
15,606;23;121,4
24,991;70,2;167,6
24,644;68,4;166,6
29,125;72,8;158,1
25,752;69,6;164,4
31,602;93,6;172,1
29,074;69,4;154,5
29,308;74;158,9
29,291;63,9;147,7
25,391;69,8;165,8
36,661;92,8;159,1
31,828;82,4;160,9
34,463;101,6;171,7
23,22;67,5;170,5
55,319;145;161,9
41,623;98,2;153,6
20,881;63;173,7
25,553;69,4;164,8
26,644;78;171,1
25,168;65,4;161,2
20,028;67;182,9
19,443;55,4;168,8
30,178;79,2;162
23,501;62,9;163,6
23,374;58,647;158,4
21,565;60;166,8
24,657;63,2;160,1
28,904;69,8;155,4
24,301;62,6;160,5
39,372;106,8;164,7
32,092;78,6;156,5
32,277;81,6;159
20,343;46,2;150,7
50,911;137,6;164,4
39,062;91,8;153,3
22,841;66,4;170,5
26,422;68,658;161,2
21,847;55,231;159
23,203;59,4;160
19,043;46,7;156,6
20,039;49,9;157,8
20,093;46,3;151,8
29,7;76,7;160,7
19,839;48,9;157
20,986;51,4;156,5
20,575;54,8;163,2
20,07;50,676;158,9
21,245;49,993;153,4
26,865;68,43;159,6
36,519;108,037;172
21,105;54,163;160,2
17,762;49,3;166,6
17,803;48;164,2
39,147;103,5;162,6
;61;
22,252;55,2;157,5
21,716;54,9;159
35,175;87,7;157,9
26,906;76,029;168,1
30,854;84;165
22,223;59,478;163,6
34,504;87,56;159,3
22,541;51,6;151,3
24,702;60,5;156,5
36,6;95,461;161,5
22,884;72,1;177,5
24,931;70,7;168,4
25,365;76,444;173,6
24,401;62,7;160,3
29,625;79;163,3
21,396;66,804;176,7
48,118;116,8;155,8
57,109;148,4;161,2
17,917;46,5;161,1
21,365;54,9;160,3
26,801;72,7;164,7
33,594;97,2;170,1
31,327;100,6;179,2
25,724;70,8;165,9
24,64;61,9;158,5
25,103;65,15;161,1
26,935;74,4;166,2
22,552;57,3;159,4
22,547;57;159
39,521;117,6;172,5
29,42;90,1;175
34,826;94,7;164,9
41,602;106,5;160
28,158;77,5;165,9
46,904;116,5;157,6
31,724;96,6;174,5
25,181;59,1;153,2
17,48;47,3;164,5
21,965;59,8;165
22,253;71,3;179
38,714;115,6;172,8
26,714;72,2;164,4
21,669;54,3;158,3
43,432;112,3;160,8
21,793;58,4;163,7
32,586;82,9;159,5
21,708;56,2;160,9
44,436;133,3;173,2
38,5;99,3;160,6
22,39;65,7;171,3
36,064;95,7;162,9
36,043;104,9;170,6
24,907;66,5;163,4
24,783;65,2;162,2
26,614;65,1;156,4
24,123;56,1;152,5
43,963;118,1;163,9
36,962;82,5;149,4
31,825;92,3;170,3
24,342;60;157
42,291;117,1;166,4
25,657;70,7;166
23,939;64,7;164,4
27,519;77,3;167,6
26,617;61,9;152,5
20,387;51,8;159,4
39,794;106,9;163,9
35,419;75,5;146
20,608;47,8;152,3
24,233;67,1;166,4
29,748;80,4;164,4
34,943;86,9;157,7
24,199;56,5;152,8
26,884;69,6;160,9
31,159;86,9;167
26,373;70,5;163,5
26,93;71,2;162,6
27,758;69,295;158
34,764;93,159;163,7
31,401;76,515;156,1
19,835;47,9;155,4
32,729;84,627;160,8
19,272;49,459;160,2
25,602;62,867;156,7
22,432;57,786;160,5
35,62;101,856;169,1
24,709;64,765;161,9
24,002;65,265;164,9
27,179;73,368;164,3
41,255;106,936;161
32,687;90,399;166,3
22,565;60,1;163,2
16,188;42,8;162,6
18,458;49,101;163,1
23,868;56,092;153,3
16,239;43,04;162,8
20,597;55,94;164,8
27,765;74,041;163,3
31,877;83,761;162,1
28,392;73,596;161
24,396;74,458;174,7
21,469;56,97;162,9
30,266;83,3;165,9
27,805;68,1;156,5
27,927;80,9;170,2
29,434;88,5;173,4
41,659;118,7;168,8
26,406;67,6;160
22,995;60,2;161,8
40,576;120,6;172,4
37,415;103,1;166
24,293;59,5;156,5
42,372;101,93;155,1
21,132;59,5;167,8
19,79;52;162,1
27,918;66,9;154,8
24,94;71,4;169,2
24,863;68,1;165,5
31,172;90,3;170,2
23,317;61,8;162,8
32,873;92,56;167,8
36;94,128;161,7
29,493;70,4;154,5
20,543;59,3;169,9
20,546;48,789;154,1
37,09;101,1;165,1
19,921;63,9;179,1
24,068;71,7;172,6
19,983;55;165,9
18,471;49,8;164,2
26,672;71,3;163,5
20,189;55,9;166,4
18,709;52,804;168
21,784;64,521;172,1
37,133;109,983;172,1
21,315;58,1;165,1
22,505;66,5;171,9
28,904;69,8;155,4
34,29;74,3;147,2
24,367;69,1;168,4
24,423;67,3;166
27,011;65,145;155,3
45,583;121,704;163,4
24,847;71,387;169,5
31,489;85,21;164,5
19,009;47,575;158,2
24,019;65,314;164,9
28,692;82,434;169,5
29,791;69,737;153
22,364;64,1;169,3
21,746;54,7;158,6
25,149;63,1;158,4
26,04;60,4;152,3
38,268;101,3;162,7
34,996;74,7;146,1
41,116;113,3;166
33,657;81,907;156
41,261;128,1;176,2
21,349;57;163,4
17,147;51,2;172,8
21,045;49,2;152,9
28,637;75,9;162,8
37,798;106,3;167,7
41,416;111,8;164,3
27,224;64,9;154,4
20,683;57,2;166,3
18,929;58,9;176,4
21,597;57,1;162,6
50,488;125,4;157,6
17,901;48,5;164,6
15,583;43,2;166,5
17,479;44,3;159,2
33,641;87,2;161
21,326;58,2;165,2
30,19;81,298;164,1
35,796;118,7;182,1
29,793;86;169,9
25,424;71,5;167,7
28,074;72,5;160,7
24,36;68,1;167,2
30,329;76;158,3
35,494;109,695;175,8
37,583;98,512;161,9
27,511;69,2;158,6
22,183;55,8;158,6
28,927;80;166,3
30,64;72,1;153,4
28,915;82;168,4
24,369;59;155,6
36,231;100,2;166,3
27,224;75,2;166,2
23,006;60,9;162,7
25,609;77;173,4
23,193;57,9;158
23,682;55,8;153,5
31,687;84,5;163,3
46,315;137,977;172,6
23,517;61,109;161,2
26,02;71,7;166
35,722;96,9;164,7
30,894;103,8;183,3
23,714;59,8;158,8
26,785;73,1;165,2
28,281;72,4;160
39,583;114,8;170,3
21,425;58,4;165,1
24,208;74,9;175,9
26,305;66;158,4
26,175;73,7;167,8
18,721;51,4;165,7
23,666;55,4;153
27,925;65,2;152,8
50,482;128,105;159,3
22,377;60,7;164,7
38,262;104,8;165,5
21,23;53,2;158,3
23,846;63,2;162,8
16,947;41,4;156,3
33,191;85,287;160,3
21,073;63,8;174
20,74;52,3;158,8
22,001;51,1;152,4
14,433;21,8;122,9
22,321;56,5;159,1
19,996;55,5;166,6
23,408;60;160,1
26,415;64,2;155,9
20,222;56,6;167,3
28,032;72,3;160,6
46,323;147,1;178,2
22,655;50,5;149,3
37,864;85,876;150,6
33,5;93,428;167
43,459;113,351;161,5
35,682;77,526;147,4
31,005;77,5;158,1
39,819;101,3;159,5
28,32;67,6;154,5
34,509;81,1;153,3
26,183;67,196;160,2
45,877;130,1;168,4
38,182;108,923;168,9
23,265;67;169,7
27,251;74,1;164,9
22,219;51,2;151,8
22,947;67,1;171
39,751;102,4;160,5
19,194;55,6;170,2
20,875;49,7;154,3
63,957;162,3;159,3
30,227;81,1;163,8
32,116;88,5;166
23,745;63,088;163
24,584;65,078;162,7
28,859;80,774;167,3
37,23;98,553;162,7
32,926;74,579;150,5
33,218;76,141;151,4
40,82;111,133;165
32,096;89,62;167,1
23,034;65,477;168,6
20,421;58,809;169,7
40,021;107,246;163,7
28,036;75,039;163,6
26,723;65,787;156,9
19,143;50,861;163
25,535;69,352;164,8
37,154;102,752;166,3
43,527;135,288;176,3
36,892;103,135;167,2
30,842;95,754;176,2
29,744;78,93;162,9
26,359;68,494;161,2
25,496;54,347;146
22,688;60,575;163,4
21,929;61,45;167,4
25,946;68,597;162,6
28,546;83,081;170,6
27,628;68,884;157,9
19,593;53,213;164,8
28,39;63,707;149,8
18,378;48,768;162,9
16,315;27,912;130,8
34,197;99,411;170,5
48,923;129,348;162,6
43,269;104,223;155,2
23,679;66,037;167
25,657;75,022;171
30,583;75,096;156,7
29,31;76,922;162
46,291;114,684;157,4
22,61;61,482;164,9
26,365;74,234;167,8
22,043;52,21;153,9
19,284;52,374;164,8
37,331;96,047;160,4
24,142;67,894;167,7
14,396;18,253;112,6
16,21;43,811;164,4
25,901;60,079;152,3
29,616;71,153;155
23,216;55,776;155
35,003;88,38;158,9
28,697;68,323;154,3
35,645;98,936;166,6
31,205;79,884;160
35,361;101,594;169,5
25,267;62,757;157,6
37,99;113,308;172,7
39,082;111,359;168,8
28;65,288;152,7
25,832;83,231;179,5
34,921;91,308;161,7
32,791;98,367;173,2
36,474;111,192;174,6
26,444;69,228;161,8
28,052;84,637;173,7
21,851;55,171;158,9
33,278;91,812;166,1
22,157;63,658;169,5
31,867;82,91;161,3
25,974;69,52;163,6
53,445;147,805;166,3
31,557;92,6;171,3
25,979;72,8;167,4
22,994;67;170,7
44,87;119,8;163,4
27,739;68,2;156,8
23,085;54,963;154,3
21,873;58,399;163,4
26,901;72,794;164,5
53,736;156,578;170,7
36,859;86,962;153,6
34,744;98,18;168,1
26,268;68,005;160,9
26,004;52,878;142,6
25,874;65,825;159,5
30,672;84,417;165,9
32,729;103;177,4
30,505;89,2;171
19,301;48;157,7
20,95;55,8;163,2
33,352;84;158,7
21,047;56,4;163,7
40,692;123,2;174
45,797;116,8;159,7
37,846;94;157,6
24,976;63,3;159,2
34,226;86,2;158,7
34,702;92,2;163
28,081;82,4;171,3
30,116;89,2;172,1
47,951;129,6;164,4
20,898;64;175
17,136;52;174,2
24,135;61,4;159,5
23,646;70,2;172,3
34,178;92,6;164,6
25,193;76,8;174,6
21,503;58,4;164,8
39,928;102,6;160,3
15,27;45,018;171,7
26,047;77,865;172,9
22,112;61,669;167
34,582;110,187;178,5
40,496;99,184;156,5
41,902;113,249;164,4
29,773;82,638;166,6
41,716;115,367;166,3
20,446;51,82;159,2
32,298;91,593;168,4
30,335;93,009;175,1
20,543;60,773;172
21,499;55,382;160,5
39,66;108,105;165,1
33,524;79,094;153,6
20,79;48,858;153,3
30,918;91,468;172
25,77;61,515;154,5
32,707;72,321;148,7
36,043;100,4;166,9
21,973;55,2;158,5
25,955;68,2;162,1
20,804;43,8;145,1
31,562;80,8;160
30,975;79;159,7
18,44;41,6;150,2
23,441;63,2;164,2
25,072;72,8;170,4
21,734;62;168,9
19,411;54,2;167,1
21,723;56,8;161,7
18,257;54,2;172,3
37,655;99,8;162,8
24,14;66,2;165,6
39,57;107,6;164,9
29,793;82;165,9
23,581;55,2;153
42,262;123;170,6
31,611;84,4;163,4
26,285;72,868;166,5
15,159;23,008;123,2
21,477;51,599;155
25,401;67,985;163,6
30,252;85,486;168,1
33,825;97,64;169,9
19,984;54,276;164,8
37,522;92,841;157,3
26,874;67,344;158,3
21,766;60,995;167,4
32,804;91,927;167,4
26,289;77,503;171,7
19,235;48,566;158,9
32,874;95,005;170
30,439;84,588;166,7
25,866;74,842;170,1
16,215;27,698;130,7
26,593;62,414;153,2
22,579;65,023;169,7
24,267;74,912;175,7
26,232;69,867;163,2
31,267;85,641;165,5
21,366;57,396;163,9
22,944;63,987;167
21,404;51,49;155,1
25,48;71,659;167,7
28,853;77,037;163,4
25,13;62,894;158,2
47,099;120,573;160
25,585;69,149;164,4
25,003;66,349;162,9
20,424;56,211;165,9
24,901;68,701;166,1
34,389;92,155;163,7
24,767;39,883;126,9
36,217;97,172;163,8
35,665;87,241;156,4
32,639;84,288;160,7
21,413;56,823;162,9
20,925;55,594;163
28,262;73,167;160,9
35,576;95,801;164,1
20,924;59,126;168,1
30,431;91,922;173,8
30,573;85,264;167
28,201;74,285;162,3
24,941;63,609;159,7
38,366;107,254;167,2
25,783;75,039;170,6
34,818;85,059;156,3
37,712;95,34;159
24,388;67,366;166,2
24,049;62,414;161,1
31,668;86,738;165,5
18,953;29,236;124,2
36,069;92,916;160,5
18,291;26,294;119,9
25,424;58,354;151,5
14,505;20,714;119,5
41,871;116,915;167,1
29,962;92,81;176
23,226;64,699;166,9
20,018;49,468;157,2
29,521;76,711;161,2
27,672;83,299;173,5
23,631;65,038;165,9
26,673;68,709;160,5
17,016;49,931;171,3
22,152;55,231;157,9
34,626;106,407;175,3
29,491;72,23;156,5
28,441;72,263;159,4
28,253;70,709;158,2
30,777;80,671;161,9
23,812;55,451;152,6
17,98;26,498;121,4
24,212;70,551;170,7
17,309;27,83;126,8
21,857;62,277;168,8
27,099;72,441;163,5
26,405;73,817;167,2
34,044;88,903;161,6
42,286;120,061;168,5
24,179;64,241;163
24,219;68,601;168,3
34,922;99,859;169,1
28,147;78,499;167
19,404;53,083;165,4
32,154;81,8;159,5
39,143;111,4;168,7
26,77;58,4;147,7
20,717;53,5;160,7
21,462;49;151,1
52,259;126,2;155,4
27,513;63,4;151,8
18,77;37;140,4
31,065;88,2;168,5
30,774;72,7;153,7
37,753;100,8;163,4
34,09;83,6;156,6
17,075;35,9;145
41,038;118,6;170
29,297;73,6;158,5
31,69;86,8;165,5
28,504;89,2;176,9
27,182;67,6;157,7
32,272;84,8;162,1
44,535;127,8;169,4
27,687;63,8;151,8
27,107;75,6;167
28,883;77,4;163,7
51,555;134,8;161,7
51,005;143,1;167,5
28,894;83,8;170,3
22,14;45,4;143,2
27,525;73,4;163,3
21,284;51,2;155,1
29,639;77,4;161,6
19,596;51,3;161,8
27,626;66,8;155,5
30,226;76,8;159,4
27,308;76,8;167,7
35,913;94,6;162,3
19,909;61,6;175,9
27,565;77,8;168
23,244;60,4;161,2
39,065;107;165,5
24,013;63,8;163
26,41;66,6;158,8
26,851;62,117;152,1
53,644;124,92;152,6
24,342;60,459;157,6
36,087;103,311;169,2
24,177;77,552;179,1
19,751;53,903;165,2
25,946;63,955;157
27,286;77,562;168,6
37,874;100,381;162,8
23,664;64,816;165,5
22,059;60,2;165,2
18,103;38,8;146,4
34,735;79,2;151
33,366;96,2;169,8
32,611;97,6;173
36,501;81,8;149,7
30,289;83,765;166,3
33,119;92,367;167
30,572;75,935;157,6
41,379;118,463;169,2
32,092;78;155,9
29,684;75,8;159,8
33,658;83,6;157,6
36,686;93,8;159,9
34,038;98,6;170,2
24,4;59;155,5
31,812;90;168,2
19,663;59,6;174,1
26,122;70;163,7
23,31;64;165,7
24,239;64,4;163
32,944;91;166,2
34,222;95,9;167,4
37,258;99,6;163,5
38,183;101,2;162,8
21,836;64,3;171,6
28,769;87;173,9
25,056;66;162,3
26,627;75,6;168,5
33,435;91,8;165,7
33,734;82,2;156,1
36,045;93,2;160,8
30,36;86,2;168,5
44,472;122,4;165,9
28,52;65,2;151,2
24,736;70,9;169,3
28,734;73,1;159,5
35,188;87,4;157,6
24,812;57,1;151,7
27,105;85,3;177,4
34,809;85,8;157
34,301;98,2;169,2
23,747;65,2;165,7
20,676;60,6;171,2
28,965;80,2;166,4
23,821;65,8;166,2
36,962;96,168;161,3
35,697;102,8;169,7
35,521;87;156,5
29,199;66,4;150,8
37,808;92,6;156,5
26,813;76,4;168,8
27,611;81,4;171,7
39,923;104;161,4
22,74;59,9;162,3
30,069;72,8;155,6
31,117;70,2;150,2
37,427;91,2;156,1
28,703;77,2;164
22,724;56,8;158,1
27,068;75,4;166,9
37,445;107,2;169,2
25,234;68,2;164,4
20,998;42,4;142,1
24,684;70;168,4
30,386;77,4;159,6
24,315;65;163,5
28,93;84,2;170,6
19,275;51,4;163,3
28,308;74,2;161,9
28,972;68,8;154,1
28,802;81;167,7
27,057;70,396;161,3
26,898;68;159
24,547;77,6;177,8
24,929;71,2;169
28,003;69,2;157,2
32,006;80;158,1
28,637;87,1;174,4
27,452;71,6;161,5
28,105;72,4;160,5
27,701;81;171
26,717;73,8;166,2
28,484;75,4;162,7
38,226;116,8;174,8
25,8;68,8;163,3
27,335;74,6;165,2
30,986;75,6;156,2
36,695;95;160,9
37,719;111,2;171,7
23,437;75,6;179,6
38,901;120,5;176
24,866;70,6;168,5
24,914;70,4;168,1
32,416;91,6;168,1
33,765;85,9;159,5
26,758;74;166,3
36,236;104,6;169,9
31,141;85,4;165,6
32,285;86,2;163,4
28,823;60,6;145
33,139;92,2;166,8
21,746;57;161,9
32,215;90,6;167,7
24,623;67,2;165,2
35,686;101,2;168,4
40,363;103,2;159,9
37,589;109,4;170,6
39,341;108,8;166,3
23,275;55,2;154
50,884;147,4;170,2
21,19;57,2;164,3
22,62;52,4;152,2
30,67;83,6;165,1
36,879;93;158,8
38,705;111,2;169,5
33,687;94,4;167,4
40,132;113;167,8
20,794;58,2;167,3
31,478;88;167,2
34,957;85,4;156,3
22,67;57,6;159,4
23,525;59,4;158,9
36,407;97,8;163,9
33,512;95,6;168,9
27,131;71,996;162,9
31,71;90,997;169,4
29,589;74,522;158,7
29,387;74,2;158,9
28,091;76,2;164,7
35,424;90,8;160,1
23,663;54,6;151,9
45,89;132;169,6
34,235;84,6;157,2
23,215;65,6;168,1
27,493;72,6;162,5
56,068;162,8;170,4
25,149;64,3;159,9
24,79;67;164,4
28,558;83,8;171,3
22,842;63,4;166,6
29,802;78,6;162,4
22,381;61,6;165,9
27,08;81,8;173,8
29,687;86,2;170,4
19,358;54,7;168,1
23,99;61,8;160,5
23,621;61;160,7
21,715;55,8;160,3
25,094;67;163,4
38,856;117,1;173,6
26,575;69,4;161,6
24,302;52,8;147,4
16,53;39;153,6
37,948;105,2;166,5
23,047;64,2;166,9
24,948;58,4;153
45,309;138,6;174,9
40,612;125,8;176
20,485;53,1;161
29,404;87,8;172,8
21,906;55,8;159,6
25,111;66,8;163,1
22,544;63,4;167,7
31,518;85,6;164,8
22,74;57,2;158,6
31,937;91;168,8
16,665;38,2;151,4
38,301;90,6;153,8
29,189;89,8;175,4
37,024;104;167,6
33,405;99,4;172,5
22,569;58,5;161
24,753;58,4;153,6
29,687;67,6;150,9
17,953;47;161,8
36,885;104,6;168,4
36,9;97,8;162,8
21,944;61,2;167
22,615;56,6;158,2
27,661;66,8;155,4
30,55;88,6;170,3
35,003;93;163
29,67;70;153,6
24,461;67;165,5
49,473;136;165,8
19,947;47;153,5
52,542;139,6;163
36,975;96,2;161,3
20,817;61,8;172,3
24,306;59;155,8
24,353;63,282;161,2
27,248;75,9;166,9
29,269;83,2;168,6
41,468;98,6;154,2
19,236;51,8;164,1
64,94;176,8;165
22,148;50,1;150,4
24,228;65,8;164,8
26,367;70,4;163,4
18,312;48;161,9
18,386;55,6;173,9
19,808;60,8;175,2
25,697;76,2;172,2
38,315;102,8;163,8
25,078;63,8;159,5
24,115;60,2;158
19,078;55,2;170,1
24,596;71;169,9
21,359;56,4;162,5
21,729;60,6;167
31,523;80,8;160,1
31,737;83,6;162,3
32,838;86,5;162,3
20,466;58,8;169,5
24,34;63,8;161,9
44,19;122,8;166,7
27,258;77,3;168,4
27,679;78,4;168,3
18,947;35,2;136,3
24,195;64,6;163,4
24,577;61,2;157,8
27,655;75,2;164,9
22,429;59,3;162,6
36,945;98,4;163,2
17,812;48,2;164,5
21,586;57;162,5
23,07;59,8;161
50,251;126,4;158,6
19,084;46,8;156,6
30,055;75,6;158,6
29,354;80,4;165,5
20,833;54;161
16,8;44,2;162,2
23,964;68,2;168,7
22,352;61;165,2
26,367;70,4;163,4
44,464;121,2;165,1
